index,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_pop,genre,category
740,5UzU0qw21okODBNUnxptVo,57,"Lover, Lover",Jerrod Niemann,0RKP52f5PNDCRZ9Luq2Sr7,0,0.879,0.5670000000000001,7,-6.5089999999999995,1,0.0586,0.184,0.0,0.622,0.948,112.47200000000001,193733,4,59,contemporary country,country
741,5cQIrML7iJEUsOCNsHqWlB,46,All About Tonight,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,0,0.674,0.943,0,-3.4130000000000003,1,0.0408,0.0159,0.0,0.504,0.856,118.06,205613,4,79,contemporary country,country
742,7B6m8tHAYZsOKOKMU5SR2n,64,Take A Back Road,Rodney Atkins,2qgvmDsc4jrqbAbjq1HGM2,0,0.581,0.856,3,-4.0,1,0.0783,0.183,0.0,0.0871,0.9179999999999999,169.90200000000002,209427,4,69,contemporary country,country
743,6GR9H9az2e5mC5HVfKIsgw,33,You Don't Know Her Like I Do,Brantley Gilbert,5q8HGNo0BjLWaTAhRtbwxa,0,0.49,0.716,4,-6.681,1,0.0441,0.022000000000000002,0.00047999999999999996,0.0591,0.28800000000000003,74.988,287240,4,74,contemporary country,country
744,2WKCH4ISejDV9ad7iPp5XU,61,5-1-5-0,Dierks Bentley,7x8nK0m0cP2ksQf0mjWdPS,0,0.5539999999999999,0.8490000000000001,1,-5.181,0,0.0357,0.0246,0.000233,0.31,0.6829999999999999,116.992,182893,4,74,contemporary country,country
745,1qjl8UJtWTHrk4SFpwftSN,63,Tomorrow,Chris Young,4BYxqVkZyFjtik7crYLg5Q,0,0.441,0.644,11,-5.774,1,0.0363,0.56,0.0,0.109,0.349,141.733,220173,4,74,contemporary country,country
746,3w7CZW7YbtKUmGVykBps4T,1,Drink In My Hand,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,0,0.626,0.9129999999999999,0,-4.452,1,0.0318,0.00635,0.0,0.293,0.946,113.044,191307,4,77,contemporary country,country
747,0y44Oz1T9uWDKg4SFDWRWH,45,Honey Bee,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,0,0.48100000000000004,0.8490000000000001,4,-5.131,1,0.0385,0.0016699999999999998,1.49e-06,0.121,0.723,205.57,210720,4,79,contemporary country,country
748,0o4S4YWcJvSKZnO0czq27Q,39,Invisible,Hunter Hayes,7H6dkUChT5EoOQtUVMg4cN,0,0.42200000000000004,0.591,1,-6.152,1,0.0461,0.0818,0.0,0.0774,0.20199999999999999,155.995,274813,4,70,contemporary country,country
749,0AzcFP8ISum1BgJaT6LnQf,0,Made In America,Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,0,0.49700000000000005,0.721,9,-5.943,1,0.0316,0.0515,0.0,0.106,0.42100000000000004,172.13,193133,4,73,contemporary country,country
