track_ids,track_pop,track_name,artist,artist_ids,featured_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_pop,genre,category
4sSu9BtWSCWRNjGD2AvqbG,79,Psycho!,MASE,4HAfqyKr4Sqtab6ttHWXgE,0,0.868,0.365,7,-9.51,1,0.0383,0.433,0.0,0.207,0.471,114.979,197217,4,70,,pop
4iiWcajF1fEUpwcUewc464,78,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,1RyvyyTE3xzB2ZywiAwp0i,1,0.81,0.5660000000000001,5,-8.33,1,0.433,0.107,0.0,0.122,0.5820000000000001,142.069,315346,4,94,atl hip hop,pop
3Q6F8RByyhRTJpRtZLY3cg,86,WHATS POPPIN,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,0,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,139741,4,79,deep underground hip hop,pop
2FvD20Z8aoWIePi7PoN8sG,87,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,4r63FhuTkUYltbVAg5TQnk,1,0.816,0.5820000000000001,8,-4.141,1,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366,4,95,nc hip hop,pop
733c1CWmIGymoQXdp7Us88,83,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,0.8190000000000001,0.654,11,-6.665,0,0.136,0.517,0.0,0.0996,0.455,133.503,188563,4,94,melodic rap,pop
4dZTZbmJBCCofAExHwefda,81,Lottery (Renegade),K CAMP,5bgfj5zUoWpyeVatGDjn6H,0,0.915,0.556,1,-8.601,1,0.21600000000000005,0.0145,0.000179,0.0733,0.67,148.964,170947,4,77,atl hip hop,pop
75dLEqanQTupF3dtP9exT5,80,Yikes,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,0,0.911,0.637,8,-8.381,1,0.447,0.0409,3.68e-05,0.238,0.66,149.996,156882,4,95,dance pop,pop
5SON8GFVi5chitOTgM8QIe,70,Konclusions,YG,0A0FS04o6zMoto8OKPsDwY,1,0.6859999999999999,0.614,4,-7.897,0,0.36,0.103,0.0,0.0888,0.355,90.634,171158,4,86,cali rap,pop
3ZCTVFBt2Brf31RLEnCkWJ,96,everything i wanted,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,0,0.7040000000000001,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,99,electropop,pop
696DnlkuDOXcMAnKlTgXXK,97,ROXANNE,Arizona Zervas,0vRvGUQVUjytro0xpb26bs,0,0.621,0.601,6,-5.6160000000000005,0,0.14800000000000002,0.0522,0.0,0.46,0.457,116.735,163636,5,89,pop rap,pop
6u5M4jPpYkoRV4vVHDQvkd,67,All I Do Is Win,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,0,0.5489999999999999,0.7909999999999999,10,-3.535,1,0.133,0.0104,0.0,0.444,0.293,150.094,227293,4,81,dance pop,pop
7FIWs0pqAYbP91WWM0vlTQ,95,Godzilla (feat. Juice WRLD),Eminem,7dGJo4pcD2V6oG8kP0tJRR,1,0.8079999999999999,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.8290000000000001,165.995,210800,4,99,detroit hip hop,pop
19y0AieXy9zCRS30x7j0Fs,45,Venice,Create the Culture,36BmoRXFhTeGPqk48Eb6AT,0,0.8009999999999999,0.73,6,-4.595,0,0.0769,0.0596,1.33e-06,0.104,0.55,102.007,189424,4,36,,pop
07KXEDMj78x68D884wgVEm,90,High Fashion (feat. Mustard),Roddy Ricch,757aE44tKEUQEqRuT6GnEB,1,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,220487,4,96,melodic rap,pop
4GyMIm2BEMoOXjmIvSpfLi,78,King Of My City,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,0,0.48,0.679,4,-6.776,0,0.264,0.452,0.0,0.152,0.29,81.186,148676,5,94,melodic rap,pop
57vxBYXtHMk6H1aD29V7PU,88,Heartless,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0,0.531,0.75,10,-5.831,0,0.111,0.00632,7.6e-05,0.117,0.198,169.954,200080,4,97,canadian contemporary r&b,pop
4Hqh0dS4x07zuRw6eBTO7p,77,20/20,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,0,0.8859999999999999,0.336,4,-12.779000000000002,1,0.239,0.557,0.0,0.0933,0.536,100.044,230448,4,87,melodic rap,pop
0rTV5WefWd1J3OwIheTzxM,78,Talk,Khalid,6LuN9FCkKOj5PcnpouEgny,1,0.9,0.4,0,-8.443,1,0.124,0.0501,0.0,0.0876,0.338,136.001,197487,4,96,alternative r&b,pop
0nbXyq5TXYPCO7pr3N8S4I,100,The Box,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,0,0.8959999999999999,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4,96,melodic rap,pop
3oqC4Ta40ft6NnTJwcUTdi,64,Pipa Voada (feat. Emicida),Rashid,5WgRuO0mhM36NFoapzpWBH,1,0.758,0.732,5,-5.511,0,0.051,0.489,0.0,0.13,0.924,90.038,185333,4,66,brazilian hip hop,pop
4ygXJj7Mpn9y8nxhDRufaY,64,Sobrou Silêncio,Rashid,5WgRuO0mhM36NFoapzpWBH,1,0.825,0.765,11,-5.0280000000000005,0,0.12,0.369,0.0,0.321,0.277,92.052,192717,4,66,brazilian hip hop,pop
2GBwxkBpmhs9UoDxsBeP4a,64,Cigana,Malibu,0PMk31f9Log4ixwUUY40p6,1,0.6759999999999999,0.5379999999999999,11,-7.089,0,0.0462,0.374,0.0,0.111,0.5489999999999999,145.959,265753,4,58,,pop
6l1PdE7lQbodewVQh16GCM,72,Sei Lá,Projota,2zGf6lwQ9PxXdoeo5XXP2K,1,0.6609999999999999,0.43,6,-8.738,1,0.0422,0.519,0.0,0.111,0.962,151.955,190364,3,75,brazilian hip hop,pop
3Vm5NxQWmQ5ozZpIJHjFaH,64,Pra Te Convencer,Haikaiss,53iGNetIf91uZx4Jb54cgb,1,0.789,0.715,9,-3.804,0,0.339,0.279,0.0,0.0938,0.907,91.803,222378,4,69,brazilian edm,pop
6noK1SfpBpTIGiGhBRbGGL,51,Geometria,Orgânico,5UOOgRWguRmVZo1voJuQpf,1,0.797,0.6829999999999999,7,-5.075,1,0.238,0.496,0.0,0.0944,0.7709999999999999,95.123,251053,4,67,brazilian hip hop,pop
0fea68AdmYNygeTGI4RC18,88,LA CANCIÓN,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,1,0.754,0.6459999999999999,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.08900000000003,242573,4,99,latin,pop
74gvfUeukgShMIZ2FH3PTc,72,6.3,Naps,6W5uA6CNMf3hd2j4a2XWCx,1,0.875,0.614,3,-7.237999999999999,0,0.212,0.69,0.0,0.114,0.753,119.963,212320,4,73,french hip hop,pop
5GyyPRvEwdI4wJSUbzxHQv,78,Blanche,Maes,6L34dW6SKMSDaGIfYDU19j,1,0.7759999999999999,0.713,4,-6.121,0,0.14300000000000002,0.525,0.0,0.306,0.551,127.987,193453,4,84,french hip hop,pop
4Nfak8iMF4kQfQ6Pa8Z79m,78,Dybala,Maes,6L34dW6SKMSDaGIfYDU19j,1,0.7290000000000001,0.721,10,-5.83,0,0.0761,0.256,0.0,0.111,0.537,132.304,211227,4,84,french hip hop,pop
0fjeOEBCmt1nAdoux2TDKF,72,MD,Niska,7CUFPNi1TU8RowpnFRSsZV,1,0.41,0.7290000000000001,4,-5.252999999999999,0,0.4,0.499,0.0,0.124,0.593,75.301,210827,4,80,french hip hop,pop
2iuNKcIOuHb9VIplN7NDoa,74,Distant,Maes,6L34dW6SKMSDaGIfYDU19j,1,0.747,0.731,4,-6.305,0,0.194,0.555,0.0,0.0662,0.493,105.074,162013,4,84,french hip hop,pop
